db_name,pop_density,2019_population,district_area_km2
15th of May (city),1270.19,"96,522",75.99
"Abdeen, Cairo",24146.84,"41,605",1.72
El Darb El Ahmr,32299.79,"60,336",1.87
Dokki,13426.56,"73,309",5.46
Ain Shams,76186.8,"633,798",8.32
El Ahram,37938.92,"681,383",17.96
Agouza,39164.24,"287,818",7.35
Al-Amīriīah,41371.71,"157,378",3.8
Azbakeya,15321.56,"20,393",1.33
Badrshein,4169.46,"563,294",135.1
El Basattin,21811.87,"511,052",23.43
El Hawamdeya,11454.14,"198,042",17.29
El Jamaliyah,18063.07,"37,517",2.08
Giza,22786.27,"295,310",12.96
Giza,5404.14,"385,153",71.27
El Khalifa,10980.07,"108,560",9.89
Al-Khānkah,7606.12,"79,484",10.45
El Khankah,4759.89,"591,654",124.3
El Khasos,61591.36,"475,978",7.73
Hay El Maadi,11928.47,"91,384",7.66
El Marg,46996.92,"823,856",17.53
Al-Ma'ṣarah,19700.78,"278,569",14.14
"Al-Matariyyah, Cairo",86414.77,"621,495",7.19
Mokattam,8081.54,"231,213",28.61
"El Mosky, Cairo",21058.3,"17,192",0.82
New Cairo City,1533.51,"140,117",91.37
New Cairo City,502.87,"93,534",186.0
New Cairo City,1121.41,"73,116",65.2
Qanatir el Qahiriya,4747.8,"522,733",110.1
Obour (city),646.5,"135,312",209.3
Al Umraniyya,51663.66,"378,333",7.32
"Al Warraq, Egypt",57647.55,"751,724",13.04
El Waily,16192.4,"81,804",5.05
El Nozha,3527.28,"238,550",67.63
El Sharabia,53304.17,"193,121",3.62
Sheikh Zayed City,2173.98,"93,742",43.12
Shorouk City,514.47,"90,033",175.0
El Sahel,50544.6,"326,417",6.46
"El Salam, Cairo",22925.84,"495,886",21.63
"El Salam, Cairo",14341.59,"158,618",11.06
As Sayyidah Zaynab,37642.03,"140,593",3.74
Aṭ-Ṭālbīah,45483.17,"473,025",10.4
El Tebin,2789.79,"74,320",26.64
Ossim,5536.72,"400,914",72.41
"Daher, Egypt",36669.14,"74,145",2.02
Zamalek,5588.98,"15,420",2.76
El Zawya El Hamera,66699.04,"328,226",4.92
"Zeitoun, Cairo",40407.24,"179,691",4.45
Bab El Sharia,46562.86,"48,146",1.03
Bulaq Abo El Ela,16013.22,"49,673",3.1
Bulaq ad Dakrur,76855.85,"992,209",12.91
Dār as-Salām,96308.7,"542,218",5.63
El Qobbah,81271.44,"326,061",4.01
Helwan,9653.84,"537,719",55.7
Imbaba,59380.56,"653,780",11.01
Kerdasa,5890.93,"468,329",79.5
Nasr City,8486.63,"654,828",77.16
Nasr City,4323.64,"74,453",17.22
10th of Ramadan (city),2031.91,"79,346",39.05
10th of Ramadan (city),5750.06,"155,424",27.03
"Badr, Egypt",311.86,"32,278",103.5
6th of October (city),890.89,"202,945",227.8
6th of October (city),751.57,"157,604",209.7
New Heliopolis,14753.15,"138,355",9.38
Old Cairo,22650.35,"258,214",11.4
Manshiyat Naser,46693.59,"266,527",5.71
Qalyub,7103.55,"152,229",21.43
Qalyub,5806.18,"577,947",99.54
Garden City,5767.72,"10,901",1.89
Rod El Farag,52077.64,"150,244",2.89
Hay Shobra,55996.46,"79,123",1.41
Shubra El Kheima,49508.3,"501,024",10.12
Shubra El Kheima,35536.87,"706,473",19.88
Hay Torah,5235.77,"237,390",45.34
